id,title,description,price,category,created_at,updated_at
0c9d9eaa-4640-4c88-a3b4-2c93af6d6bf0,اختيار الخطوط (Typography),الخط هو صوت العلامة البصرية. نختار خطوطًا احترافية تعكس هويتك سواء رسمية، عصرية، أو ودودة، لتظهر علامتك بشكل متسق في كل مكان.,500 ج.م,branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
14e2def7-469c-47d3-a389-07961deb6996,تصميم إعلانات (Ad Creatives),تصميم احترافي للإعلانات يعزز فرص الضغط والتفاعل ويزيد من معدلات التحويل.,300 ج.م للإعلان,ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
159207e0-94ce-4097-9c2d-d61bffcd1b79,إدارة حملات مبيعات/تحويلات,حملات مركزة على تحقيق العائد، حيث الهدف الأساسي هو زيادة المبيعات والتحويلات لا مجرد المشاهدات.,"2,000 – 3,000 ج.م + ميزانية الإعلان",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
17aee520-8398-48ac-81fb-f5ebac5c79bc,إعداد الحملات,تصميم حملات إعلانية احترافية تحقق أفضل توازن بين الوصول والتكلفة، مع إعداد متكامل للأهداف.,"1,500 ج.م",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
2cc33d8a-c795-40f1-85e8-dcd95d4154b5,تحسين الأداء,تحسين سرعة الموقع وأدائه لرفع تجربة المستخدم وزيادة فرص الظهور في محركات البحث.,"1,500 – 3,000 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
2d7be060-fa45-493d-9b30-68a93ed6e9fa,إعداد خطة محتوى (Content Calendar),خطة محتوى استراتيجية تضمن حضورك المستمر، مرتبطة بالمواسم والعروض، وتبني علاقة دائمة مع الجمهور.,"1,500 ج.م / شهري",social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
33d1b871-b6d0-40b8-bb66-bdb8bfc15f7a,أبحاث الجمهور,دراسة دقيقة للجمهور تضمن استهداف الأشخاص الأكثر اهتمامًا بما تقدمه، مما يقلل التكاليف ويزيد النتائج.,"1,000 ج.م",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
45faae03-af28-468c-a685-115cee82df86,تصميم شعار رمزي (Iconic),رمز بصري بسيط وقوي يرسّخ علامتك التجارية في ذهن العملاء حتى دون الحاجة لقراءة الاسم. مثالي للتطبيقات والمنصات الرقمية أو البراندات التي تسعى لبناء هوية قوية يسهل تمييزها.,"2,000 ج.م",branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
4fad5c29-358f-4a95-afdb-3c41122a30a6,تصميم كروت شخصية (Business Cards),بطاقة أنيقة تحمل هويتك البصرية وتترك انطباعًا مهنيًا في أي لقاء. أداة صغيرة تصنع فرقًا كبيرًا في صورة شركتك.,500 ج.م,branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
5d7427d4-dac7-4690-b64e-152ff56aee1a,تصميم بوست ثابت,تصميم بصري جذاب يلفت الانتباه وسط زحام المحتوى ويحفّز الجمهور على التفاعل.,200 ج.م,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
648bae8a-ad11-427c-a02c-df378a0ebeb2,كتابة نصوص إعلانية (Ad Copy),كلمات مختصرة وقوية تشجع الجمهور على التفاعل أو الشراء فورًا.,200 ج.م للنص,ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
