id,category,title,price_min,price_max,currency,is_monthly,description,features,created_at,popular
0642ebb7-5428-4b4c-9e60-67b727e64d45,web,باقة البرو,20000,40000,EGP,false,موقع احترافي بنظام CMS أو متجر إلكتروني,"[""ربط بوسائل الدفع"",""تكامل مع Analytics"",""نظام إدارة محتوى""]",2025-09-17 10:39:23.540971,false
1a6c555e-d56a-4698-8bd6-102243eccb07,web,باقة النمو,10000,18000,EGP,false,موقع متعدد الصفحات للشركات في مرحلة التوسع,"[""تصميم متجاوب"",""لوحة تحكم أساسية"",""تحسين مبدئي لمحركات البحث""]",2025-09-17 10:39:23.540971,true
294fccfc-f33b-4704-8b17-324d6492bdc5,ads,باقة التجربة,4000,7000,EGP,false,إعلانات قصيرة المدى لاختبار الاستهداف,"[""تحليل النتائج"",""تقارير أداء مفصلة""]",2025-09-17 10:39:23.540971,false
499d8519-c421-4c3b-bde0-2733766e4073,ads,باقة السيطرة,20000,35000,EGP,false,إدارة حملات متعددة وتحسين ROI,"[""مسار تحويل كامل"",""تحليلات متقدمة"",""تحسين مستمر للأداء""]",2025-09-17 10:39:23.540971,true
4c47669b-4385-452c-9e56-430a79b0fe6d,social,باقة النمو السريع,12000,20000,EGP,true,إدارة 3 منصات أو أكثر لتحقيق نمو متسارع,"[""25-30 منشوراً شهرياً"",""استراتيجيات إعلانية مدفوعة"",""إدارة مجتمعات كاملة""]",2025-09-17 10:39:23.540971,false
5e82c2fb-ace3-491e-ba98-a032ae989105,branding,باقة البداية,2500,4500,EGP,false,هوية بسيطة للشركات الناشئة,"[""تصميم شعار احترافي"",""دليل ألوان وخطوط"",""تصميم بطاقة عمل""]",2025-09-17 10:39:23.540971,false
6b01ddbf-6755-4033-835d-2ec1a50448f3,branding,باقة البصمة,12000,20000,EGP,false,هوية شاملة واحترافية,"[""كتيب دليل الهوية"",""ستايل فوتوجرافي وموكابس"",""قوالب وسائط اجتماعية""]",2025-09-17 10:39:23.540971,true
7b619123-b6aa-4ad5-9323-39ab9da74ddb,branding,باقة العلامة,6000,10000,EGP,false,هوية متكاملة لوسائل التواصل والبروفايل,"[""تعددية استخدامات الشعار"",""قوالب للبروفايل والبروشور"",""هوية متسقة""]",2025-09-17 10:39:23.540971,false
8a81738c-86cc-42c0-a041-a56d3c36bd7c,social,باقة الحضور,3000,5000,EGP,true,إدارة منصة واحدة بحضور رقمي فعال,"[""8 منشورات شهرياً"",""تصميم + كتابة محتوى"",""تقارير أداء شهرية""]",2025-09-17 10:39:23.540971,true
8f125566-5112-4691-9284-8446f127f81d,social,باقة التفاعل,6000,10000,EGP,true,إدارة منصتين واستراتيجيات محتوى مخصصة,"[""16 منشوراً شهرياً"",""إدارة التعليقات والرسائل"",""تقارير تفصيلية""]",2025-09-17 10:39:23.540971,false
9d517e58-8f42-4000-ade2-59daa1f5ec27,web,باقة الانطلاقة,5000,8000,EGP,false,موقع تعريفي بسيط للظهور الإلكتروني السريع,"[""لاندينج بيج أو ٣ صفحات أساسية"",""تصميم سريع وخفيف"",""عرض واضح للخدمات""]",2025-09-17 10:39:23.540971,false
c7b082ca-45ee-4514-8140-e4d3ffdac0b5,ads,باقة الأداء,8000,15000,EGP,false,حملات مستمرة وتحسين أسبوعي,"[""اختبار A/B"",""استراتيجيات زيادة التحويلات""]",2025-09-17 10:39:23.540971,false
